TaskResult{id=1, payload=payload-1, worker=4, ts=2025-11-25T20:12:29.6444671+03:00}
TaskResult{id=5, payload=payload-5, worker=4, ts=2025-11-25T20:12:29.8016028+03:00}
TaskResult{id=2, payload=payload-2, worker=1, ts=2025-11-25T20:12:29.8016028+03:00}
TaskResult{id=3, payload=payload-3, worker=2, ts=2025-11-25T20:12:29.9587704+03:00}
TaskResult{id=6, payload=payload-6, worker=4, ts=2025-11-25T20:12:30.0670532+03:00}
TaskResult{id=4, payload=payload-4, worker=3, ts=2025-11-25T20:12:30.1198546+03:00}
TaskResult{id=7, payload=payload-7, worker=1, ts=2025-11-25T20:12:30.2305608+03:00}
TaskResult{id=10, payload=payload-10, worker=3, ts=2025-11-25T20:12:30.3136761+03:00}
TaskResult{id=8, payload=payload-8, worker=2, ts=2025-11-25T20:12:30.4090197+03:00}
TaskResult{id=11, payload=payload-11, worker=1, ts=2025-11-25T20:12:30.4897287+03:00}
TaskResult{id=9, payload=payload-9, worker=4, ts=2025-11-25T20:12:30.6230062+03:00}
TaskResult{id=12, payload=payload-12, worker=3, ts=2025-11-25T20:12:30.7254471+03:00}
TaskResult{id=15, payload=payload-15, worker=4, ts=2025-11-25T20:12:30.7834488+03:00}
TaskResult{id=13, payload=payload-13, worker=2, ts=2025-11-25T20:12:30.8677806+03:00}
TaskResult{id=16, payload=payload-16, worker=3, ts=2025-11-25T20:12:30.9831025+03:00}
TaskResult{id=14, payload=payload-14, worker=1, ts=2025-11-25T20:12:31.0737982+03:00}
TaskResult{id=17, payload=payload-17, worker=4, ts=2025-11-25T20:12:31.1546688+03:00}
TaskResult{id=20, payload=payload-20, worker=1, ts=2025-11-25T20:12:31.2289214+03:00}
TaskResult{id=18, payload=payload-18, worker=2, ts=2025-11-25T20:12:31.3354081+03:00}
TaskResult{id=19, payload=payload-19, worker=3, ts=2025-11-25T20:12:31.5580224+03:00}
