TaskResult{id=1, payload=payload-1, worker=2, ts=2025-11-25T17:31:39.939541900Z}
TaskResult{id=2, payload=payload-2, worker=4, ts=2025-11-25T17:31:40.105528900Z}
TaskResult{id=5, payload=payload-5, worker=2, ts=2025-11-25T17:31:40.200550600Z}
TaskResult{id=3, payload=payload-3, worker=1, ts=2025-11-25T17:31:40.263534600Z}
TaskResult{id=4, payload=payload-4, worker=3, ts=2025-11-25T17:31:40.422527700Z}
TaskResult{id=6, payload=payload-6, worker=4, ts=2025-11-25T17:31:40.424532200Z}
TaskResult{id=7, payload=payload-7, worker=2, ts=2025-11-25T17:31:40.614529600Z}
TaskResult{id=10, payload=payload-10, worker=4, ts=2025-11-25T17:31:40.646530300Z}
TaskResult{id=8, payload=payload-8, worker=1, ts=2025-11-25T17:31:40.789524800Z}
TaskResult{id=11, payload=payload-11, worker=2, ts=2025-11-25T17:31:40.933534200Z}
TaskResult{id=9, payload=payload-9, worker=3, ts=2025-11-25T17:31:41.043850500Z}
TaskResult{id=12, payload=payload-12, worker=4, ts=2025-11-25T17:31:41.059845400Z}
TaskResult{id=15, payload=payload-15, worker=3, ts=2025-11-25T17:31:41.249842300Z}
TaskResult{id=13, payload=payload-13, worker=1, ts=2025-11-25T17:31:41.296843200Z}
TaskResult{id=16, payload=payload-16, worker=4, ts=2025-11-25T17:31:41.376894900Z}
TaskResult{id=14, payload=payload-14, worker=2, ts=2025-11-25T17:31:41.551844800Z}
TaskResult{id=17, payload=payload-17, worker=3, ts=2025-11-25T17:31:41.663847300Z}
TaskResult{id=20, payload=payload-20, worker=2, ts=2025-11-25T17:31:41.757402300Z}
TaskResult{id=18, payload=payload-18, worker=1, ts=2025-11-25T17:31:41.806416800Z}
TaskResult{id=19, payload=payload-19, worker=4, ts=2025-11-25T17:31:41.995414900Z}
